"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_cases_under_study","AR0005",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_cases_under_study","AR0005",NA,NA,"36","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"2","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_probable_imported_cases","AR0004",NA,NA,"1","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_cases_under_study","AR0005",NA,NA,"145","cases"
"2016-03-26","Argentina-Buenos_Aires","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-26","Argentina-CABA","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-26","Argentina-CABA","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-26","Argentina-CABA","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"9","cases"
"2016-03-26","Argentina-CABA","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-26","Argentina-CABA","province","cumulative_cases_under_study","AR0005",NA,NA,"81","cases"
"2016-03-26","Argentina-CABA","province","cumulative_cases_discarded","AR0006",NA,NA,"2","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_cases_under_study","AR0005",NA,NA,"15","cases"
"2016-03-26","Argentina-Catamarca","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_cases_under_study","AR0005",NA,NA,"52","cases"
"2016-03-26","Argentina-Chaco","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-26","Argentina-Chubut","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
