date,state,region_code,region_name,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,new_positives,intensive_care_admissions,discharged_recovered,deceased,total_cases,daily_discharged_recovered,daily_deceased,daily_total_cases,hospitalized_with_symptoms_normalized_per_region_name,intensive_care_normalized_per_region_name,total_hospitalized_normalized_per_region_name,home_isolation_normalized_per_region_name,total_positives_normalized_per_region_name,new_positives_normalized_per_region_name,intensive_care_admissions_normalized_per_region_name,daily_discharged_recovered_normalized_per_region_name,daily_deceased_normalized_per_region_name,daily_total_cases_normalized_per_region_name
2020-02-25 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,2,0.0,1,1,2,0,0,0,0.001091703056768559,0.0,0.0009398496240601503,0.0,1.0759745639613079e-05,0.00010599957600169599,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0.0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00044772778150884264,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0.0,5,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0.0,3,2,2,0,0,0,0.0,0.0,0.0,5.7688092024044395e-06,5.694144710993683e-06,0.0004886868983042564,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0.0,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,1,0.0,1,1,1,0,0,0,0.002053388090349076,0.0,0.0018867924528301887,0.0,3.7470023980815345e-05,0.00023646252069047056,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,20,3,23,23,46,21,0.0,4,1,47,0,0,21,0.0025419420437214034,0.007462686567164179,0.0025593299208934387,4.269983522887112e-05,6.98472092298098e-05,0.0005450581395348837,0.0,0.0,0.0,0.0005450722869675812
2020-02-26 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0.0,3,1,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001057194206575748,0.0,0.0
2020-02-26 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0.0,4,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,11,Marche,43.61675973,13.5188753,1,0,1,0,1,1,0.0,2,1,1,0,0,0,0.000999000999000999,0.0,0.0008561643835616438,0.0,3.6199095022624436e-05,0.0005122294788065053,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,79,25,104,145,249,18,0.0,40,9,258,0,0,18,0.005388377683826578,0.018102824040550324,0.0066851949222564416,0.00012881281583074694,0.0001435760113892104,0.0003416013512231226,0.0,0.0,0.0,0.0003416013512231226
2020-02-26 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,6,0,6,5,11,10,0.0,4,1,11,0,0,10,0.0042796005706134095,0.0,0.003973509933774834,0.00010526537400787385,0.00022793675791044158,0.002908229211546747,0.0,0.0,0.0,0.0005599731212901781
2020-02-26 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0.0,5,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0.0,3,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0.0,1,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00756499620098444,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,16,8,24,45,69,28,0.0,7,2,71,0,1,28,0.0014820303816228233,0.021505376344086023,0.0026160889470241986,0.00010098407237424002,0.00012812211075983337,0.0011126122546292617,0.0,0.0,0.005235602094240838,0.0005728314238952537
2020-02-26 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0.0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00044772778150884264,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.010396361273554255,0.0,0.0,0.0,0.0
